timestamp,config_hash,video,width,height,fps,frame_area,conf_threshold,frame_stride,min_area_ratio,min_area_threshold,processed_frames,frames_with_detections,total_detections,processing_time,detections_per_second,frames_per_second
2025-09-02T21:49:40.904371,805b8fc5,no_animal_004.mp4,1280,720,29.933920704845814,921600,0.15,1,0.01,9216.0,453,0,0,13.054399728775024,0.0,34.70094446407057
2025-09-02T21:49:53.921466,805b8fc5,no_animal_018.mp4,1280,720,29.933920704845814,921600,0.15,1,0.01,9216.0,453,0,0,12.975478649139404,0.0,34.9120068900152
2025-09-02T21:50:06.813880,805b8fc5,skunk_004.mp4,1280,720,29.934087863800634,921600,0.15,1,0.01,9216.0,454,23,24,12.850868225097656,1.8675780950837366,35.32835229866735
2025-09-02T21:50:22.216039,805b8fc5,wild_boar_001.mp4,1920,1080,30.0,2073600,0.15,1,0.01,20736.0,450,432,438,15.288364887237549,28.649237719701112,29.434148342158675
2025-09-02T21:50:35.298890,805b8fc5,wild_boar_005.mp4,1280,720,29.934087863800634,921600,0.15,1,0.01,9216.0,454,63,63,13.043302059173584,4.830065248369449,34.80713686920206
2025-09-02T21:50:44.155827,4cfe568f,armadillo_001.mp4,1920,1080,30.0,2073600,0.15,2,0.0025,5184.0,225,225,225,8.813592910766602,25.528748863036565,25.528748863036565
2025-09-02T21:50:51.214539,4cfe568f,armadillo_002.mp4,1280,720,30.00002202644789,921600,0.15,2,0.0025,2304.0,227,41,41,7.03664755821228,5.826638276369265,32.25968021306886
2025-09-02T21:50:58.311794,4cfe568f,armadillo_003.mp4,1280,720,30.00002202644789,921600,0.15,2,0.0025,2304.0,227,0,0,7.076692819595337,0.0,32.0771306296407
2025-09-02T21:51:05.508636,4cfe568f,bird_001.mp4,1280,720,29.86784140969163,921600,0.15,2,0.0025,2304.0,226,45,45,7.175730228424072,6.271138764630351,31.49505246236576
2025-09-02T21:51:14.455932,4cfe568f,bird_003.mp4,1920,1080,30.0,2073600,0.15,2,0.0025,5184.0,225,163,163,8.906702280044556,18.3008250275976,25.261875038094846
2025-09-02T21:51:23.094532,4cfe568f,bird_019.mp4,1920,1080,30.0,2073600,0.15,2,0.0025,5184.0,225,21,21,8.59555697441101,2.443122657730853,26.17631418997343
2025-09-02T21:51:30.559973,4cfe568f,capybara_001.mp4,1280,720,29.933920704845814,921600,0.15,2,0.0025,2304.0,227,227,227,7.445402383804321,30.48861408669917,30.48861408669917
2025-09-02T21:51:37.626161,4cfe568f,catescondido.mp4,1280,720,29.933920704845814,921600,0.15,2,0.0025,2304.0,227,0,0,7.045158386230469,0.0,32.22070925242278
2025-09-02T21:51:45.036833,4cfe568f,cow_0777.mp4,1280,720,29.933920704845814,921600,0.15,2,0.0025,2304.0,227,227,292,7.390076160430908,39.512447999314496,30.7168688213849
2025-09-02T21:51:52.378213,4cfe568f,hare_0777.mp4,1280,720,30.0,921600,0.15,2,0.0025,2304.0,226,224,226,7.32109260559082,30.869709232664672,30.869709232664672
2025-09-02T21:51:57.414348,4cfe568f,humn.mp4,640,480,20.0,307200,0.15,2,0.0025,768.0,150,150,190,5.027616262435913,37.791269277966684,29.835212587868433
2025-09-02T21:52:06.422639,4cfe568f,insect_013.mp4,1920,1080,30.0,2073600,0.15,2,0.0025,5184.0,225,0,0,8.958232402801514,0.0,25.11656204963332
2025-09-02T21:52:13.505855,4cfe568f,insect_015.mp4,1280,720,29.933774834437084,921600,0.15,2,0.0025,2304.0,226,0,0,7.0625669956207275,0.0,31.99969644750066
2025-09-02T21:52:20.605698,4cfe568f,insxeox.mp4,1280,720,29.934087863800634,921600,0.15,2,0.0025,2304.0,227,0,0,7.078824043273926,0.0,32.06747315829784
2025-09-02T21:52:27.085120,4cfe568f,margay_008.mp4,1440,1080,15.0,1555200,0.15,2,0.0025,3888.0,155,30,30,6.455394983291626,4.647275662860045,24.010924258110233
2025-09-02T21:52:30.447883,4cfe568f,margay_012.mp4,1440,1080,15.0,1555200,0.15,2,0.0025,3888.0,80,15,15,3.350254774093628,4.4772714349935,23.878780986631998
2025-09-02T21:52:37.561742,4cfe568f,no_animal_004.mp4,1280,720,29.933920704845814,921600,0.15,2,0.0025,2304.0,227,0,0,7.093289613723755,0.0,32.002076943370724
2025-09-02T21:52:44.683335,4cfe568f,no_animal_018.mp4,1280,720,29.933920704845814,921600,0.15,2,0.0025,2304.0,227,0,0,7.101995229721069,0.0,31.96284884141149
2025-09-02T21:52:51.846910,4cfe568f,skunk_004.mp4,1280,720,29.934087863800634,921600,0.15,2,0.0025,2304.0,227,12,12,7.141558885574341,1.6803054056222253,31.78577725635376
2025-09-02T21:53:00.762031,4cfe568f,wild_boar_001.mp4,1920,1080,30.0,2073600,0.15,2,0.0025,5184.0,225,217,219,8.872067928314209,24.68421136644886,25.360491129913214
2025-09-02T21:53:07.895786,4cfe568f,wild_boar_005.mp4,1280,720,29.934087863800634,921600,0.15,2,0.0025,2304.0,227,33,33,7.112614393234253,4.639644183633891,31.915128172269494
2025-09-02T21:53:16.901454,a32239cc,armadillo_001.mp4,1920,1080,30.0,2073600,0.15,2,0.005,10368.0,225,225,225,8.962353706359863,25.10501229608195,25.10501229608195
2025-09-02T21:53:24.004668,a32239cc,armadillo_002.mp4,1280,720,30.00002202644789,921600,0.15,2,0.005,4608.0,227,41,41,7.082185506820679,5.789173407066775,32.05225276595507
2025-09-02T21:53:31.399131,a32239cc,armadillo_003.mp4,1280,720,30.00002202644789,921600,0.15,2,0.005,4608.0,227,0,0,7.3734235763549805,0.0,30.786241648715432
2025-09-02T21:53:38.719949,a32239cc,bird_001.mp4,1280,720,29.86784140969163,921600,0.15,2,0.005,4608.0,226,44,44,7.300789833068848,6.02674518867842,30.955554832757336
2025-09-02T21:53:47.756322,a32239cc,bird_003.mp4,1920,1080,30.0,2073600,0.15,2,0.005,10368.0,225,163,163,8.993911743164062,18.123371081986683,25.016923272681
2025-09-02T21:53:56.560638,a32239cc,bird_019.mp4,1920,1080,30.0,2073600,0.15,2,0.005,10368.0,225,16,16,8.75829529762268,1.826839522565879,25.689930786082673
2025-09-02T21:54:04.025227,a32239cc,capybara_001.mp4,1280,720,29.933920704845814,921600,0.15,2,0.005,4608.0,227,227,227,7.442449331283569,30.5007115125163,30.5007115125163
2025-09-02T21:54:11.202156,a32239cc,catescondido.mp4,1280,720,29.933920704845814,921600,0.15,2,0.005,4608.0,227,0,0,7.156863451004028,0.0,31.71780509074187
